iter	Passed	Remaining
0	1092	1091059
1	1096	547162
2	1100	365811
3	1104	275124
4	1107	220375
5	1109	183846
6	1111	157739
7	1114	138173
8	1116	122949
9	1118	110776
10	1121	100808
11	1123	92504
12	1125	85469
13	1128	79465
14	1130	74241
15	1132	69674
16	1134	65602
17	1136	61991
18	1137	58754
19	1139	55837
20	1141	53206
21	1142	50810
22	1144	48620
23	1146	46633
24	1148	44790
25	1150	43086
26	1151	41514
27	1153	40049
28	1155	38683
29	1156	37408
30	1158	36218
31	1160	35105
32	1162	34055
33	1163	33066
34	1165	32132
35	1167	31255
36	1168	30423
37	1170	29634
38	1172	28888
39	1174	28179
40	1175	27500
41	1177	26854
42	1179	26239
43	1180	25654
44	1182	25091
45	1183	24552
46	1185	24038
47	1187	23549
48	1188	23075
49	1190	22621
50	1192	22184
51	1193	21763
52	1195	21360
53	1197	20971
54	1198	20596
55	1200	20234
56	1202	19894
57	1204	19558
58	1205	19232
59	1207	18916
60	1209	18610
61	1210	18318
62	1212	18033
63	1214	17756
64	1216	17491
65	1217	17231
66	1219	16978
67	1220	16722
68	1221	16484
69	1223	16253
70	1224	16027
71	1226	15809
72	1228	15596
73	1230	15395
74	1232	15194
75	1233	14998
76	1235	14807
77	1236	14620
78	1238	14438
79	1240	14261
80	1241	14088
81	1243	13922
82	1245	13762
83	1247	13607
84	1248	13444
85	1250	13292
86	1251	13136
87	1253	12989
88	1254	12845
89	1256	12705
90	1258	12570
91	1260	12436
92	1261	12305
93	1263	12177
94	1265	12051
95	1266	11927
96	1268	11806
97	1269	11687
98	1271	11571
99	1273	11458
100	1274	11346
101	1275	11230
102	1277	11123
103	1278	11017
104	1280	10914
105	1282	10814
106	1283	10713
107	1285	10616
108	1287	10523
109	1289	10430
110	1290	10338
111	1292	10247
112	1294	10157
113	1295	10069
114	1297	9982
115	1298	9895
116	1300	9813
117	1301	9730
118	1303	9647
119	1304	9568
120	1306	9490
121	1307	9413
122	1308	9332
123	1310	9257
124	1312	9184
125	1314	9114
126	1315	9044
127	1316	8970
128	1318	8902
129	1320	8834
130	1321	8768
131	1323	8702
132	1325	8637
133	1326	8574
134	1328	8511
135	1330	8449
136	1331	8388
137	1332	8326
138	1334	8266
139	1336	8207
140	1337	8150
141	1339	8093
142	1341	8036
143	1343	7983
144	1344	7929
145	1346	7875
146	1348	7822
147	1349	7769
148	1351	7717
149	1352	7666
150	1354	7615
151	1356	7568
152	1358	7519
153	1359	7470
154	1361	7421
155	1362	7374
156	1364	7327
157	1366	7280
158	1367	7234
159	1369	7189
160	1371	7147
161	1373	7103
162	1374	7060
163	1376	7017
164	1378	6975
165	1380	6933
166	1381	6892
167	1383	6852
168	1385	6813
169	1387	6773
170	1389	6734
171	1390	6695
172	1392	6657
173	1394	6619
174	1396	6581
175	1398	6546
176	1400	6509
177	1401	6473
178	1403	6437
179	1405	6402
180	1406	6363
181	1408	6328
182	1409	6293
183	1411	6259
184	1413	6227
185	1415	6193
186	1417	6160
187	1418	6128
188	1420	6096
189	1422	6064
190	1424	6033
191	1426	6003
192	1428	5973
193	1430	5942
194	1432	5912
195	1433	5882
196	1435	5853
197	1437	5823
198	1439	5794
199	1441	5765
200	1443	5736
201	1445	5708
202	1447	5683
203	1449	5656
204	1451	5629
205	1453	5602
206	1455	5576
207	1457	5549
208	1459	5523
209	1461	5496
210	1463	5471
211	1465	5445
212	1466	5419
213	1468	5393
214	1470	5367
215	1471	5341
216	1473	5316
217	1474	5290
218	1476	5265
219	1478	5240
220	1479	5215
221	1481	5191
222	1482	5166
223	1484	5143
224	1486	5118
225	1487	5095
226	1489	5071
227	1491	5048
228	1492	5025
229	1494	5002
230	1495	4979
231	1497	4957
232	1498	4934
233	1500	4912
234	1502	4890
235	1503	4868
236	1505	4846
237	1506	4824
238	1508	4803
239	1510	4781
240	1511	4760
241	1513	4739
242	1514	4719
243	1516	4698
244	1518	4678
245	1519	4658
246	1521	4638
247	1523	4618
248	1524	4598
249	1526	4578
250	1527	4559
251	1529	4539
252	1531	4520
253	1535	4509
254	1537	4491
255	1538	4472
256	1540	4453
257	1542	4435
258	1543	4416
259	1545	4398
260	1547	4380
261	1548	4362
262	1550	4344
263	1551	4326
264	1553	4308
265	1555	4291
266	1556	4273
267	1558	4256
268	1559	4238
269	1561	4221
270	1563	4204
271	1564	4187
272	1566	4170
273	1567	4154
274	1569	4137
275	1571	4121
276	1572	4104
277	1574	4089
278	1576	4072
279	1577	4057
280	1579	4041
281	1581	4025
282	1582	4009
283	1584	3994
284	1585	3978
285	1587	3962
286	1588	3947
287	1590	3932
288	1592	3917
289	1593	3902
290	1595	3887
291	1597	3872
292	1598	3857
293	1600	3843
294	1602	3828
295	1603	3814
296	1605	3800
297	1607	3785
298	1608	3771
299	1610	3757
300	1611	3743
301	1613	3729
302	1615	3715
303	1617	3702
304	1619	3689
305	1620	3676
306	1622	3662
307	1624	3649
308	1625	3635
309	1627	3622
310	1629	3609
311	1632	3599
